quote_date,region,Women's dress - formal,date,dateISO,priceMean,price75Q,price25Q
201501,1,510245,324,01/01/2015,37.888889,50,14
201502,1,510245,325,01/02/2015,37.888889,50,14
201503,1,510245,326,01/03/2015,37.888889,50,14
201504,1,510245,327,01/04/2015,40,50,22
201505,1,510245,328,01/05/2015,40,50,22
201506,1,510245,329,01/06/2015,40,50,22
201507,1,510245,330,01/07/2015,40,50,22
201508,1,510245,331,01/08/2015,40,50,22
201509,1,510245,332,01/09/2015,43.055557,44,28
201510,1,510245,333,01/10/2015,43.055557,44,28
201511,1,510245,334,01/11/2015,43.055557,44,28
201512,1,510245,335,01/12/2015,43.055557,44,28
201601,1,510245,336,01/01/2016,32.457142,44,24
201602,1,510245,337,01/02/2016,35.998333,44,25
201603,1,510245,338,01/03/2016,35.998333,44,25
201604,1,510245,339,01/04/2016,33.498333,45,20
201605,1,510245,340,01/05/2016,33.498333,45,20
201606,1,510245,341,01/06/2016,33.498333,45,20
201607,1,510245,342,01/07/2016,33.498333,45,20
201608,1,510245,343,01/08/2016,33.498333,45,20
201609,1,510245,344,01/09/2016,35.166668,45,26
201610,1,510245,345,01/10/2016,35.166668,45,26
201611,1,510245,346,01/11/2016,35.166668,45,26
201612,1,510245,347,01/12/2016,35.166668,45,26
201701,1,510245,348,01/01/2017,40.833332,49,29
201702,1,510245,349,01/02/2017,40.833332,49,29
201703,1,510245,350,01/03/2017,40.833332,49,29
201704,1,510245,351,01/04/2017,36.833332,49,28
201705,1,510245,352,01/05/2017,36.833332,49,28
201706,1,510245,353,01/06/2017,36.833332,49,28
201707,1,510245,354,01/07/2017,36.833332,49,28
201708,1,510245,355,01/08/2017,36.833332,49,28
201709,1,510245,356,01/09/2017,40.5,48,30
201710,1,510245,357,01/10/2017,40.5,48,30
201711,1,510245,358,01/11/2017,40.5,48,30
201712,1,510245,359,01/12/2017,40.5,48,30
201801,1,510245,360,01/01/2018,39.166668,48,32
201802,1,510245,361,01/02/2018,39.166668,48,32
201803,1,510245,362,01/03/2018,39.166668,48,32
201804,1,510245,363,01/04/2018,38.5,45,31
201805,1,510245,364,01/05/2018,38.5,45,31
201806,1,510245,365,01/06/2018,38.5,45,31
201807,1,510245,366,01/07/2018,38.5,45,31
201808,1,510245,367,01/08/2018,37.200001,42,31
201809,1,510245,368,01/09/2018,46.166668,56,38
201810,1,510245,369,01/10/2018,46.166668,56,38
201811,1,510245,370,01/11/2018,46.166668,56,38
201812,1,510245,371,01/12/2018,46.166668,56,38
201901,1,510245,372,01/01/2019,40.583332,46,37.5
201902,1,510245,373,01/02/2019,40.583332,46,37.5
201903,1,510245,374,01/03/2019,40.583332,46,37.5
201904,1,510245,375,01/04/2019,40.833332,46,38
201905,1,510245,376,01/05/2019,40.833332,46,38
201906,1,510245,377,01/06/2019,40.833332,46,38
201907,1,510245,378,01/07/2019,40.833332,46,38
201908,1,510245,379,01/08/2019,40.833332,46,38
201909,1,510245,380,01/09/2019,33.416668,48,20
201910,1,510245,381,01/10/2019,33.416668,48,20
201911,1,510245,382,01/11/2019,33.416668,48,20
201912,1,510245,383,01/12/2019,33.416668,48,20
202001,1,510245,384,01/01/2020,33.416668,48,20
202002,1,510245,385,01/02/2020,33.416668,48,20
202003,1,510245,386,01/03/2020,33.416668,48,20
202004,1,510245,387,01/04/2020,35.178333,45,22
202005,1,510245,388,01/05/2020,35.178333,45,22
202006,1,510245,389,01/06/2020,35.178333,45,22
202007,1,510245,390,01/07/2020,35.178333,45,22
202008,1,510245,391,01/08/2020,35.178333,45,22
202009,1,510245,392,01/09/2020,33.165001,45,22.99
202010,1,510245,393,01/10/2020,33.165001,45,22.99
202011,1,510245,394,01/11/2020,33.165001,45,22.99
202012,1,510245,395,01/12/2020,33.165001,45,22.99
202101,1,510245,396,01/01/2021,34.833332,45,25
202102,1,510245,397,01/02/2021,34.833332,45,25
202103,1,510245,398,01/03/2021,34.833332,45,25
202104,1,510245,399,01/04/2021,36.083332,46,25
202105,1,510245,400,01/05/2021,36.083332,46,25
202106,1,510245,401,01/06/2021,36.083332,46,25
202107,1,510245,402,01/07/2021,36.083332,46,25
202108,1,510245,403,01/08/2021,36.083332,46,25
202109,1,510245,404,01/09/2021,40.330002,45,29.99
202110,1,510245,405,01/10/2021,40.330002,45,29.99
202111,1,510245,406,01/11/2021,40.330002,45,29.99
202112,1,510245,407,01/12/2021,40.330002,45,29.99
202201,1,510245,408,01/01/2022,37.875,45,25
202202,1,510245,409,01/02/2022,37.875,45,25
202203,1,510245,410,01/03/2022,37.875,45,25
202204,1,510245,411,01/04/2022,45.333332,52,45
202205,1,510245,412,01/05/2022,45.333332,52,45
202206,1,510245,413,01/06/2022,45.333332,52,45
202207,1,510245,414,01/07/2022,45.333332,52,45
202208,1,510245,415,01/08/2022,45.333332,52,45
202209,1,510245,416,01/09/2022,43.331665,52,31
202210,1,510245,417,01/10/2022,43.331665,52,31
202211,1,510245,418,01/11/2022,43.331665,52,31
