Date,GRA Purchases,PRGT 1/2/,Totals - in SDR,SDR rate 07/10/2022,Totals - in dollars,Year ,Total_Billions_SDR,Total_Billions_USD,"GDP, current prices (Billions of U.S. dollars)",World GDP_Billions_USD_12/10/2022,Debt GDP percentage using USD_12.10.2022,Debt GDP percentage -IGNORE as using the wrong format
09/30/2022,91088136681.00,15386591496.00,106474728177.00,1.28252,136555968381.57,2022,106.47,136.56,2022.00,103496.12,0.13,0.10
12/31/2021,89474552025.00,14554823681.00,104029375706.00,1.28252,133419754930.46,2021,104.03,133.42,2021.00,97076.28,0.14,0.11
12/31/2020,93408630285.00,12481816684.00,105890446969.00,1.28252,135806616046.68,2020,105.89,135.81,2020.00,85440.67,0.16,0.12
12/31/2019,66945509865.00,6590835450.00,73536345315.00,1.28252,94311833593.39,2019,73.54,94.31,2019.00,87654.34,0.11,0.08
12/31/2018,55395611392.00,6426181029.00,61821792421.00,1.28252,79287685215.78,2018,61.82,79.29,2018.00,86209.63,0.09,0.07
12/31/2017,39585385873.00,6522280669.00,46107666542.00,1.28252,59134004493.45,2017,46.11,59.13,2017.00,81036.15,0.07,0.06
12/31/2016,49267630851.00,6482647937.00,55750278788.00,1.28252,71500847551.19,2016,55.75,71.50,2016.00,76211.25,0.09,0.07
12/31/2015,50757840741.00,6575911158.00,57333751899.00,1.28252,73531683485.51,2015,57.33,73.53,2015.00,74944.46,0.10,0.08
12/31/2014,69041563463.00,6292755583.00,75334319046.00,1.28252,96617770862.88,2014,75.33,96.62,2014.00,79429.02,0.12,0.10
12/31/2013,83899249061.00,6174392682.00,90073641743.00,1.28252,115521247008.23,2013,90.07,115.52,2013.00,77365.52,0.15,0.12
12/31/2012,90042348252.00,5766292503.00,95808640755.00,1.28252,122876497941.10,2012,95.81,122.88,2012.00,75196.67,0.16,0.13
12/31/2011,87276915790.00,5308609594.00,92585525384.00,1.28252,118742788015.49,2011,92.59,118.74,2011.00,73773.48,0.16,0.13
12/31/2010,55620104510.00,4819344134.00,60439448644.00,1.28252,77514801674.90,2010,60.44,77.51,2010.00,66484.53,0.12,0.09
12/31/2009,37221142436.00,5079705286.00,42300847722.00,1.28252,54251683220.42,2009,42.30,54.25,2009.00,60782.12,0.09,0.07
12/31/2008,17514964723.00,3972372030.00,21487336753.00,1.28252,27557939132.46,2008,21.49,27.56,2008.00,64162.47,0.04,0.03
12/31/2007,6036146757.00,3796945581.00,9833092338.00,1.28252,12611137585.33,2007,9.83,12.61,2007.00,58461.91,0.02,0.02
12/31/2006,9822640239.00,3844020520.00,13666660759.00,1.28252,17527765756.63,2006,13.67,17.53,2006.00,51783.27,0.03,0.03
12/31/2005,28432143237.00,6282121668.00,34714264905.00,1.28252,44521739025.96,2005,34.71,44.52,2005.00,47811.37,0.09,0.07
12/31/2004,55373766674.00,6766029353.00,62139796027.00,1.28252,79695531200.55,2004,62.14,79.70,2004.00,44134.37,0.18,0.14
12/31/2003,65032062712.00,6880893268.00,71912955980.00,1.28252,92229804303.47,2003,71.91,92.23,2003.00,39210.20,0.24,0.18
12/31/2002,63601058794.00,6868671012.00,70469729806.00,1.28252,90378837870.79,2002,70.47,90.38,2002.00,34915.51,0.26,0.20
12/31/2001,53477225409.00,6424578684.00,59901804093.00,1.28252,76825261785.35,2001,59.90,76.83,2001.00,33801.01,0.23,0.18
12/31/2000,42990531049.00,6331595468.00,49322126517.00,1.28252,63256613700.58,2000,49.32,63.26,2000.00,34053.08,0.19,0.14
12/31/1999,51061861875.00,6434274362.00,57496136237.00,1.28252,73739944646.68,1999,57.50,73.74,1999.00,32960.33,0.22,0.17
12/31/1998,60451017051.00,6288825925.00,66739842976.00,1.28252,85595183413.58,1998,66.74,85.60,1998.00,31835.02,0.27,0.21
12/31/1997,46559033783.00,6009867422.00,52568901205.00,1.28252,67420667173.44,1997,52.57,67.42,1997.00,31990.92,0.21,0.16
12/31/1996,36127472805.00,5881609752.00,42009082557.00,1.28252,53877488561.00,1996,42.01,53.88,1996.00,32079.20,0.17,0.13
12/31/1995,35929173412.00,5657438528.00,41586611940.00,1.28252,53335661545.29,1995,41.59,53.34,1995.00,31211.51,0.17,0.13
12/31/1994,25611676952.00,4599768498.00,30211445450.00,1.28252,38746783018.53,1994,30.21,38.75,1994.00,27998.30,0.14,0.11
12/31/1993,25196745031.00,3942792899.00,29139537930.00,1.28252,37372040185.98,1993,29.14,37.37,1993.00,26051.09,0.14,0.11
12/31/1992,23967172718.00,3804463796.00,27771636514.00,1.28252,35617679261.94,1992,27.77,35.62,1992.00,25339.14,0.14,0.11
12/31/1991,23378573926.00,3285717796.00,26664291722.00,1.28252,34197487419.30,1991,26.66,34.20,1991.00,24504.03,0.14,0.11
12/31/1990,20731851093.00,2571911617.00,23303762710.00,1.28252,29887541750.83,1990,23.30,29.89,1990.00,23663.34,0.13,0.10
12/31/1989,22315104224.00,2334886562.00,24649990786.00,1.28252,31614106182.86,1989,24.65,31.61,1989.00,20127.80,0.16,0.12
12/31/1988,24750004884.00,1773964293.00,26523969177.00,1.28252,34017520948.89,1988,26.52,34.02,1988.00,19131.41,0.18,0.14
12/31/1987,28751979125.00,1866342930.00,30618322055.00,1.28252,39268610401.98,1987,30.62,39.27,1987.00,17013.02,0.23,0.18
12/31/1986,33334905644.00,2013169931.00,35348075575.00,1.28252,45334613886.45,1986,35.35,45.33,1986.00,14776.09,0.31,0.24
12/31/1985,35194787249.00,2470247948.00,37665035197.00,1.28252,48306160940.86,1985,37.67,48.31,1985.00,12531.04,0.39,0.30
12/31/1984,34936772393.00,2769874900.00,37706647293.00,1.28252,48359529286.22,1984,37.71,48.36,1984.00,12001.66,0.40,0.31
,,,,,,,,,1983.00,11589.05,,
,,,,,,,,,1982.00,11286.62,,
 1/ Includes loans under the Structural Adjustment Facility and Trust Fund.,,,,,,,,,1981.00,11498.28,,
,,,,,,,,,1980.00,11238.27,,
 2/ Formerly PRGF-ESF.,,,,,,,,,,,,
