country,Remittances recieved /USD
Africa Eastern and Southern,14447055525.2412
Africa Western and Central,34891533066.0657
Arab World,57041271104.9319
Caribbean small states,3700941860.2237
Central Europe and the Baltics,36848052636.0836
Early-demographic dividend,325967194039.174
East Asia & Pacific,113191214278.152
East Asia & Pacific (excluding high income),97745555426.5033
East Asia & Pacific (IDA & IBRD countries),97745555426.5033
Euro area,91519671366.3771
Europe & Central Asia,193506766592.526
Europe & Central Asia (excluding high income),61741861657.5223
Europe & Central Asia (IDA & IBRD countries),81227270439.316
European Union,126808050178.071
Fragile and conflict affected situations,68089561409.6398
Heavily indebted poor countries (HIPC),31569429116.8302
High income,160710414726.047
IBRD only,389349692870.656
IDA & IBRD total,517569698073.473
IDA blend,60117444298.4979
IDA only,68102560904.3191
IDA total,128220005202.817
Late-demographic dividend,133247421443.494
Latin America & Caribbean,97905693413.9012
Latin America & Caribbean (excluding high income),96252018472.3128
Latin America & the Caribbean (IDA & IBRD countries),97516820261.5562
Least developed countries: UN classification,49895003528.0459
Low & middle income,499948699097.516
Low income,11639277878.2945
Lower middle income,341046039150.568
Middle East & North Africa,57257074335.7856
Middle East & North Africa (excluding high income),55063558324.4873
Middle East & North Africa (IDA & IBRD countries),51910698510.099
Middle income,488309421219.221
North America,9908011767.20072
OECD members,189461333469.996
Other small states,4923772246.70834
Pacific island small states,819220431.28986
Post-demographic dividend,155920268791.947
Pre-demographic dividend,42625235447.734
Small states,9443934538.2219
South Asia,139830764844.691
South Asia (IDA & IBRD),139830764844.691
Sub-Saharan Africa,49338588591.3069
Sub-Saharan Africa (excluding high income),49314940371.999
Sub-Saharan Africa (IDA & IBRD countries),49338588591.3069
Upper middle income,147263382068.654
World,660938113823.563
Afghanistan,828571904.111179
Albania,1472812241.61037
Algeria,1785838683.22299
Angola,3445473.46759301
Antigua and Barbuda,36955426.2457208
Argentina,561398444.719758
Armenia,1527937456.87278
Aruba,34264018.270972
Australia,1752198311.23879
Austria,2966978810.66014
Azerbaijan,1275168754.82216
Bangladesh,18363859531.2812
Barbados,108317190.29
Belarus,1418800000.0
Belgium,12178118946.1038
Belize,96816750.1184865
Benin,216993145.183506
Bermuda,1547229197.94004
Bhutan,56658762.9385091
Bolivia,1335620196.92987
Bosnia and Herzegovina,2332570551.4136
Botswana,59360104.1407768
Brazil,3213621676.71
Bulgaria,2342370000.0
Burkina Faso,467251841.7327
Burundi,48328631.779466
Cabo Verde,241314283.947866
Cambodia,1524617295.39829
Cameroon,355550645.811703
Canada,1311782569.26068
Cayman Islands,14148597.5605371
Central African Republic,0.0
Chad,0.0
Chile,69372771.3618018
China,18294313104.25
Colombia,7115322398.74071
Comoros,168546815.838786
"Congo, Dem. Rep.",2076317927.82742
"Congo, Rep.",26242892.954918
Costa Rica,553377977.061178
Cote d'Ivoire,328290412.149646
Croatia,4280379502.49387
Curacao,176186257.296089
Cyprus,535182398.093839
Czechia,3859937090.42623
Denmark,1451438646.96199
Djibouti,79461628.0574608
Dominica,47506082.4979811
Dominican Republic,7420600000.0
Ecuador,3242684316.95308
"Egypt, Arab Rep.",26781400000.0
El Salvador,5656754219.242
Equatorial Guinea,0.0
Eritrea,0.0
Estonia,541915243.762818
Eswatini,118702081.809135
Ethiopia,479624165.264604
Faroe Islands,0.0
Fiji,295226277.283677
Finland,797176578.300856
France,30024725081.0684
French Polynesia,581560111.75
Gabon,18458042.25
"Gambia, The",275825107.455024
Georgia,2258211424.72
Germany,18729702718.9933
Ghana,4053694728.81049
Greece,676327504.794212
Grenada,63365362.2953786
Guatemala,10655601360.0
Guinea,158130000.0
Guinea-Bissau,151185244.870505
Guyana,380358400.968644
Haiti,3026149513.65524
Honduras,5401465664.93251
"Hong Kong SAR, China",451246722.143142
Hungary,4964320442.23079
Iceland,184084310.234569
India,83332078002.3032
Indonesia,11666395059.1407
"Iran, Islamic Rep.",1330000000.0
Iraq,859200000.0
Ireland,586686133.468616
Israel,953400000.0
Italy,10458515879.0042
Jamaica,2562542094.73911
Japan,4388723265.72254
Jordan,4652535211.2676
Kazakhstan,506076000.839177
Kenya,2838192215.41577
Kiribati,20075191.1375462
"Korea, Rep.",7166100000.0
Kosovo,1248990731.0196
Kuwait,25700374.7167045
Kyrgyz Republic,2410507184.54596
Lao PDR,296516566.66
Latvia,1142611838.12228
Lebanon,7410021339.89472
Lesotho,543706903.648001
Liberia,346244091.574358
Libya,0.0
Lithuania,1303940311.17964
Luxembourg,2041361755.82717
"Macao SAR, China",21815988.458913
Madagascar,407676204.197602
Malawi,280913154.558341
Malaysia,1597353741.92284
Maldives,4428730.22412144
Mali,971700936.136416
Malta,264726248.088836
Marshall Islands,31450053.0
Mauritania,64458913.6407564
Mauritius,318511666.223381
Mexico,39021789685.0
"Micronesia, Fed. Sts.",23338700.0
Moldova,1909910000.0
Mongolia,560930420.374501
Montenegro,584315521.917428
Morocco,6962578453.17234
Mozambique,299567589.191752
Myanmar,2553189788.15473
Namibia,65593517.2338819
Nepal,8244465869.48491
Netherlands,2234076587.98699
New Caledonia,621061715.841089
New Zealand,462952736.493801
Nicaragua,1686400000.0
Niger,308661888.805164
Nigeria,23809281401.0144
North Macedonia,317088137.0
Norway,615742173.230997
Oman,39011703.5110533
Pakistan,22252000000.0
Palau,2176267.5754698
Panama,580854157.0
Papua New Guinea,3000000.0
Paraguay,665990282.4938
Peru,3325921218.81313
Philippines,35167471832.1845
Poland,7063000000.0
Portugal,617601901.893932
Qatar,576648351.648352
Romania,8142029279.29984
Russian Federation,10432480000.0
Rwanda,260710294.704425
Samoa,155214806.424846
Sao Tome and Principe,11114429.3726563
Saudi Arabia,334029333.333333
Senegal,2522205664.88
Serbia,4237925900.80366
Seychelles,23648219.3078321
Sierra Leone,68081022.8102885
Singapore,0.0
Sint Maarten (Dutch part),48475168.9273743
Slovak Republic,2544685949.43086
Slovenia,662862979.137277
Solomon Islands,25474128.7558912
Somalia,1577000000.0
South Africa,890059293.728208
South Sudan,80440000.0
Spain,3212474500.45992
Sri Lanka,6748702044.3482
St. Kitts and Nevis,42333816.87892
St. Lucia,43217252.5983377
St. Vincent and the Grenadines,79338189.5304151
Sudan,522317287.755546
Suriname,96177384.3131186
Sweden,3184903850.28114
Switzerland,2549309963.18163
Tajikistan,2321884645.342
Tanzania,433499813.406953
Thailand,8162162551.48331
Timor-Leste,100384635.644561
Togo,507962802.03796
Tonga,190366330.353795
Trinidad and Tobago,144013909.747584
Tunisia,2049663194.48389
Turkiye,810000000.0
Turkmenistan,1000000.0
Turks and Caicos Islands,7481920.0
Tuvalu,901579.144854571
Uganda,1424508662.67091
Ukraine,15788000000.0
United Kingdom,4214814558.37469
United States,7049000000.0
Uruguay,112271708.009377
Uzbekistan,8545813106.61555
Vanuatu,74997097.6137809
"Venezuela, RB",279000000.0
Vietnam,17000000000.0
West Bank and Gaza,3152859814.38834
Zambia,98259120.8108228
Zimbabwe,1417011952.8873
