Year,Population,World Population,Share_of_world_pop
2020,747636026,7794798739,10.1
2019,747182751,7713468100,9.7
2018,746419440,7631091040,9.8
2017,745414735,7547858925,9.9
2016,744268827,7464022049,10.0
2015,743059035,7379797139,10.7
2010,736412989,6956823603,11.3
2005,729287846,6541907027,11.9
2000,725558036,6143493823,12.6
1995,726994464,5744212979,13.6
1990,720858450,5327231061,14.8
1985,707584266,4870921740,15.9
1980,693566517,4458003514,17.0
1975,676895467,4079480606,18.3
1970,656919379,3700437046,19.7
1965,634783204,3339583597,20.9
1960,605406980,3034949748,21.8
1955,576678796,2773019936,22.7
